source,target,weight
"Dodik Arwin Dermawan, S.ST., S.T., M.T.","I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",5
"Asmunin, S.Kom., M.Kom.","Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",1
"Asmunin, S.Kom., M.Kom.","Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",1
"Asmunin, S.Kom., M.Kom.","Salamun Rohman Nudin, S.Kom., M.Kom.",2
"Asmunin, S.Kom., M.Kom.","I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",1
"Asmunin, S.Kom., M.Kom.","Andi Iwan Nurhidayat, S.Kom., M.T.",1
"Salamun Rohman Nudin, S.Kom., M.Kom.","Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",2
"Salamun Rohman Nudin, S.Kom., M.Kom.","Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",1
"Salamun Rohman Nudin, S.Kom., M.Kom.","I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",2
"I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.","Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",3
"Faris Abdi El Hakim, S.Kom., M.Tr.Kom.","Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",1
"Prof. Dr. Mustaji, M.Pd.","Dr. Bachtiar Syaiful Bachri, M.Pd",3
"Prof. Dr. Mustaji, M.Pd.","Dr. Fajar Arianto, S.Pd., M.Pd.",4
"Prof. Dr. Mustaji, M.Pd.","Dr. H. Andi Mariono, M.Pd.",5
"Prof.Dr. Rusijono, M.Pd.","Dr. Fajar Arianto, S.Pd., M.Pd.",1
"Prof. Dr. Siti Masitoh, M.Pd.","Dr. Fajar Arianto, S.Pd., M.Pd.",2
"Prof. Dr. Siti Masitoh, M.Pd.","Dr. Bachtiar Syaiful Bachri, M.Pd",4
"Prof.Dr.Yatim Riyanto,M.Pd.","Dr. Bachtiar Syaiful Bachri, M.Pd",1
"Dr. Bachtiar Syaiful Bachri, M.Pd","Dr. Fajar Arianto, S.Pd., M.Pd.",1
