source,target,weight,first_year,last_year
Agus Prihanto,Aries Dwi Indriyanti,1,2020,2020
Bambang Sujatmiko,Rindu Puspita Wibawa,1,2020,2020
Agus Prihanto,Rindu Puspita Wibawa,1,2020,2020
Agus Prihanto,Bambang Sujatmiko,1,2020,2020
Naim Rochmawati,Yeni Anistyasari,3,2018,2020
Yeni Anistyasari,Yuni Yamasari,1,2020,2020
Lusia Rakhmawati,Yeni Anistyasari,1,2020,2020
Wiyli Yustanti,Yeni Anistyasari,3,2017,2020
Arif Widodo,Nurhayati,1,2020,2020
Endryansyah,Nurhayati,1,2020,2020
Bambang Suprianto,Tri Rijanto,1,2020,2020
Lilik Anifah,Reza Rahmadian,1,2020,2020
Arif Widodo,Joko,1,2020,2020
Atik Wintarti,Rosita,1,2019,2019
Agus Prihanto,Rahadian Bisma,1,2018,2018
Rahadian Bisma,Wiyli Yustanti,1,2018,2018
Ibnu Febry Kurniawan,Naim Rochmawati,1,2018,2018
Ibnu Febry Kurniawan,Yeni Anistyasari,1,2018,2018
Dodik Arwin Dermawan,Naim Rochmawati,1,2018,2018
Ekohariadi,Yuni Yamasari,1,2018,2018
Ari Kurniawan,Ekohariadi,1,2018,2018
Lilik Anifah,Tri Wrahatnolo,1,2018,2018
Tri Wrahatnolo,Wiyli Yustanti,1,2018,2018
Lilik Anifah,Wiyli Yustanti,1,2018,2018
Rifqi Firmansyah,Subuh Isnur Haryudo,1,2018,2018
Lilik Anifah,Pradini Puspitaningayu,2,2018,2018
Nur Kholis,Pradini Puspitaningayu,1,2018,2018
Lilik Anifah,Nur Kholis,1,2018,2018
Pradini Puspitaningayu,Rifqi Firmansyah,1,2018,2018
Lilik Anifah,Rifqi Firmansyah,1,2018,2018
Arif Widodo,Lilik Anifah,1,2018,2018
Arif Widodo,Unit Three Kartini,1,2018,2018
Lilik Anifah,Yuni Yamasari,1,2018,2018
Nur Kholis,Reza Rahmadian,1,2018,2018
Ibnu Febry Kurniawan,Rahadian Bisma,1,2018,2018
Elly Matul Imah,Yeni Anistyasari,1,2017,2017
Elly Matul Imah,Wiyli Yustanti,1,2017,2017
Arif Widodo,Elly Matul Imah,1,2017,2017
Anita Qoiriah,Yeni Anistyasari,1,2022,2022
Ekohariadi,Puput Wanarti Rusimamto,2,2019,2021
Rusijono,Yatim Riyanto,1,2020,2020
Ekohariadi,Endryansyah,1,2019,2019
