source,target,weight,first_year,last_year
Harun Al Rosyid,Tri Rijanto,1,2025,2025
I Gusti Putu Asto Buditjahjanto,Lilik Anifah,3,2023,2025
Harun Al Rosyid,I Gusti Putu Asto Buditjahjanto,1,2025,2025
Harun Al Rosyid,Lilik Anifah,1,2025,2025
I Made Suartana,Pradini Puspitaningayu,2,2024,2025
Aries Dwi Indriyanti,I Made Suartana,1,2025,2025
Aries Dwi Indriyanti,Pradini Puspitaningayu,1,2025,2025
Cendra Devayana Putra,Monica Cinthya,1,2025,2025
Cendra Devayana Putra,I Kadek Dwi Nuryana,1,2025,2025
Cendra Devayana Putra,Wiyli Yustanti,1,2025,2025
I Kadek Dwi Nuryana,Monica Cinthya,1,2025,2025
Monica Cinthya,Wiyli Yustanti,1,2025,2025
I Kadek Dwi Nuryana,Wiyli Yustanti,2,2023,2025
Ersha Aisyah Elfaiz,Monica Cinthya,1,2025,2025
Berlian Maulidya Izzati,Ersha Aisyah Elfaiz,1,2025,2025
Anggraeni Widya Purwita,Ersha Aisyah Elfaiz,1,2025,2025
Anggraeni Widya Purwita,Berlian Maulidya Izzati,2,2024,2025
Ghea Sekar Palupi,Rahadian Bisma,1,2025,2025
Aries Dwi Indriyanti,Rahadian Bisma,1,2025,2025
Anggraeni Widya Purwita,Rahadian Bisma,2,2024,2025
Aries Dwi Indriyanti,Ghea Sekar Palupi,1,2025,2025
Anggraeni Widya Purwita,Ghea Sekar Palupi,1,2025,2025
Anggraeni Widya Purwita,Aries Dwi Indriyanti,1,2025,2025
Berlian Maulidya Izzati,Dwi Fatrianto Suyatno,1,2025,2025
Bonda Sisephaputra,Dwi Fatrianto Suyatno,2,2024,2025
Ardhini Warih Utami,Dwi Fatrianto Suyatno,1,2025,2025
Berlian Maulidya Izzati,Bonda Sisephaputra,1,2025,2025
Ardhini Warih Utami,Berlian Maulidya Izzati,1,2025,2025
Ardhini Warih Utami,Bonda Sisephaputra,1,2025,2025
Ekohariadi,Lilik Anifah,2,2022,2025
Ekohariadi,Tri Wrahatnolo,3,2020,2025
Sayyidul Aulia Alamsyah,Yeni Anistyasari,1,2025,2025
Riza Akhsani Setyo Prayoga,Rizky Basatha,1,2025,2025
Muhammad Sonhaji Akbar,Rizky Basatha,1,2025,2025
Muhammad Sonhaji Akbar,Riza Akhsani Setyo Prayoga,1,2025,2025
Elvira Wardah,Nisa Dwi Septiyanti,1,2025,2025
Lilik Anifah,Lusia Rakhmawati,2,2024,2025
Lusia Rakhmawati,Nurhayati,3,2024,2025
Lilik Anifah,Puput Wanarti Rusimamto,9,2017,2025
Nurhayati,Puput Wanarti Rusimamto,2,2021,2025
I Gusti Putu Asto Buditjahjanto,Puput Wanarti Rusimamto,1,2025,2025
Endryansyah,Puput Wanarti Rusimamto,7,2018,2025
Endryansyah,Lilik Anifah,3,2021,2025
Endryansyah,I Gusti Putu Asto Buditjahjanto,1,2025,2025
Bambang Suprianto,Puput Wanarti Rusimamto,2,2025,2025
Bambang Suprianto,Lilik Anifah,5,2021,2025
Bambang Suprianto,Endryansyah,2,2025,2025
Pradini Puspitaningayu,Yuni Yamasari,1,2025,2025
Lusia Rakhmawati,Yuni Yamasari,3,2018,2025
Lusia Rakhmawati,Pradini Puspitaningayu,6,2018,2025
Parama Diptya Widayaka,Sayyidul Aulia Alamsyah,4,2023,2025
Parama Diptya Widayaka,Pradini Puspitaningayu,4,2023,2025
Pradini Puspitaningayu,Sayyidul Aulia Alamsyah,2,2023,2025
Farid Baskoro,Miftahur Rohman,10,2020,2025
Ibrohim,Rifqi Firmansyah,1,2025,2025
Farid Baskoro,Ibrohim,1,2025,2025
Arif Widodo,Ibrohim,1,2025,2025
Farid Baskoro,Rifqi Firmansyah,1,2025,2025
