Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,citation_id,scholar_id,dosen,source
Aditya Prapanca,WdhKN0sAAAAJ,Rancang Bangun Sistem Reservasi Hotel Online Untuk Mendukung Digitalisasi Layanan Hotel X,2025,"Journal of Informatics and Computer Science (JINACS) 7 (02), 525-538, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:HtEfBTGE9r8C,,,,,,WdhKN0sAAAAJ:HtEfBTGE9r8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Ricky Eka Putra, Aditya Prapanca, Anita Qoiriah",WdhKN0sAAAAJ;cPj-iOIAAAAJ;N6RJilIAAAAJ,Penerapan DINOv2 pada Content Based Image Retrieval (CBIR) dalam Website Katalog Digital Batik Surabaya,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 678-687, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:PVjk1bu6vJQC,,,,,,WdhKN0sAAAAJ:PVjk1bu6vJQC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Penerapan Load Balancing Dengan Metode Ecmp (Equal-Cost Multipath) Pada Jaringan Internet Di Pondok Pesantren Al Jihad Surabaya,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 639-646, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:5qfkUJPXOUwC,,,,,,WdhKN0sAAAAJ:5qfkUJPXOUwC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Aditya Prapanca, Arif Widodo, Aries Dwi Indriyanti",WdhKN0sAAAAJ;RES4QIQAAAAJ;Jzuk6doAAAAJ,Susu Kedelai: Teknologi Pembuatan dan Prospek Usahanya,2024,"Mitra Edukasi dan Publikasi, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:rmuvC79q63oC,,,,,,WdhKN0sAAAAJ:rmuvC79q63oC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Metabharata game based on Javanese Wayang art using Unity,2024,"Vokasi Unesa Bulletin of Engineering, Technology and Applied Science, 38-45, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:ClCfbGk0d_YC,,,,,,WdhKN0sAAAAJ:ClCfbGk0d_YC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Perancangan Website Online Course (KitaPTN) untuk Persiapan UTBK Menggunakan Algoritma Fisher-Yates Shuffle,2024,"Journal of Informatics and Computer Science (JINACS) 6 (02), 581-588, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:FPJr55Dyh1AC,,,,,,WdhKN0sAAAAJ:FPJr55Dyh1AC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Analisis Perbandingan Performa Pola Arsitektur Model-View-ViewModel (MVVM) dan Model-View-Presenter (MVP) pada Pengembangan Aplikasi Desa Wisata Berbasis Android,2024,"Journal of Informatics and Computer Science (JINACS) 6 (02), 465-478, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Ug5p-4gJ2f0C,,,,,,WdhKN0sAAAAJ:Ug5p-4gJ2f0C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Aditya Prapanca, Ronggo Alit",WdhKN0sAAAAJ;fkxhjZ4AAAAJ,Adaptive Smart Lighting dengan Memanfaatkan Teknologi Berbasis Internet of Things (IoT),2024,"JIEET (Journal of Information Engineering and Educational Technology) 8 (1 …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:edDO8Oi4QzsC,,,,,,WdhKN0sAAAAJ:edDO8Oi4QzsC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,RANCANG BANGUN APLIKASI UJI KOMPETENSI MATA PELAJARAN DASAR-DASAR PROGRAM KEAHLIAN PPLG BERBASIS WEBSITE DENGAN MODEL PEMBELAJARAN PROBLEM BASED LEARNING (STUDI KASUS SMK …,2024,"IT-Edu: Jurnal Information Technology and Education 9 (1), 192-204, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:XoXfffV-tXoC,,,,,,WdhKN0sAAAAJ:XoXfffV-tXoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Simulasi Implementasi High Availability Server Menggunakan Ceph Pada Proxmox,2024,"Journal of Informatics and Computer Science (JINACS) 6 (01), 131-136, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:ruyezt5ZtCIC,,,,,,WdhKN0sAAAAJ:ruyezt5ZtCIC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Rancang bangun game 2D Metabharata berbasis Android dengan Waterfall Model menggunakan software Unity sebagai game berbasis kesenian wayang Jawa,2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 608-615, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:q3CdL3IzO_QC,,,,,,WdhKN0sAAAAJ:q3CdL3IzO_QC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Yuni Yamasari, Anita Qoiriah, Naim Rochmawati, Aditya Prapanca",WdhKN0sAAAAJ;hn5jrnAAAAAJ;N6RJilIAAAAJ;8wFXNjYAAAAJ,Applying Data Mining for Anomalies Detection on the Academic Performance of Student,2024,"5th Vocational Education International Conference (VEIC-5 2023), 767-771, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:xtoqd-5pKcoC,,,,,,WdhKN0sAAAAJ:xtoqd-5pKcoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Web SSO Unesa Dengan Penambahan Colourblind Mode Menggunakan Algoritma Berbasis Hue and Saturation,2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 456-465, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Dip1O2bNi0gC,,,,,,WdhKN0sAAAAJ:Dip1O2bNi0gC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Perbandingan Kinerja Wifi Mesh Dan Access Point Sebagai Home Solution Menggunakan Metode Quality Of Service (QoS),2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 432-439, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:PoWvk5oyLR8C,,,,,,WdhKN0sAAAAJ:PoWvk5oyLR8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
