nama_dosen,prodi,n_papers_total,corpus_source,corpus_n_tokens
"Aditya Chandra Hermawan, S.ST., M.T.",D4 Teknik Listrik,2,scopus,216
"Sayyidul Aulia Alamsyah, S.T., M.T.",S1 Teknik Elektro,13,scopus,969
"Yandhika Surya Akbar Gumilang, S.T., M.T.",S1 Teknik Elektro,25,scopus,133
"Hesti Khuzaimah Nurul Yusufiyah, S.Si., M.Eng.",S1 Teknik Elektro,4,scopus,453
"Ir. Wahyu Sasongko Putro, B.Eng., M.Sc., IPM., ASEAN Eng., APEC Eng.",Program Profesi Insinyur,20,scopus,2116
"Namira Roudlotul Jannah, S.T., M.T.",S1 Teknik Elektro,5,scopus,284
"Dr. Elly Matul Imah, M.Kom.",S1 Kecerdasan Artifisial,39,scopus,4232
"Riskyana Dewi Intan P, M.Kom.",S1 Kecerdasan Artifisial,17,scopus,1468
"Fadhilah Qalbi Annisa, S.T., M.Sc.",S1 Kecerdasan Artifisial,9,scopus,563
"Harmon Prayogi, M.Sc.",S1 Kecerdasan Artifisial,15,scopus,1406
"Ike Fitriyaningsih, M.Si",S1 Kecerdasan Artifisial,6,scopus,813
"Dr. Atik Wintarti, M.Kom.",S1 Sains Data,68,scopus,2086
"Ibnu Febry Kurniawan, S.Kom., M.Sc., Ph.D.",S1 Sains Data,19,scopus,2523
"Yuliani Puji Astuti, S.Si., M.Si.",S1 Sains Data,83,scopus,2613
"Hasanuddin Al-Habib, M.Si.",S1 Sains Data,4,scopus,518
"Ulfa Siti Nuraini, S.Stat., M.Stat.",S1 Sains Data,18,scopus,641
"Dinda Galuh Guminta, M.Stat.",S1 Sains Data,1,scopus,105
"Kartika Chandra Dewi, S.Si., M.Si.",S1 Sains Data,5,scopus,207
"Yuni Rosita Dewi, M.Si.",S1 Sains Data,0,no_data,0
"Dr. Heri Purnawan, S.Si., M.Si.",S1 Sains Data,24,scopus,836
"Moh. Khoridatul Huda, S.Pd., M.Si., Ph.D.",S1 Sains Data,39,scopus,75
"Belgis Ainatul Iza, S.Si, M.Mat.",S1 Sains Data,4,scopus,343
"Siska Puspitaningsih, S.Kom., M.Kom.",S1 Sains Data,14,scholar_fallback,147
"Nurul Laili, S.Pd., M.Sc.",S1 Sains Data,3,scopus,122
"Hujjatullah Fazlurrahman, S.E., MBA.",S1 Bisnis Digital,15,scopus,1713
"Achmad Kautsar, S.E., M.M.",S1 Bisnis Digital,94,scopus,2957
"Hafid Kholidi Hadi, S.E., M.SM.",S1 Bisnis Digital,53,scopus,1932
"Ika Diyah Candra Arifah, S.E., M.Com.",S1 Bisnis Digital,55,scopus,2681
"Riska Dhenabayu, S.Kom., M.M.",S1 Bisnis Digital,33,scopus,1092
"Fresha Kharisma,  S.E., M.SM.",S1 Bisnis Digital,9,scopus,982
"Renny Sari Dewi, S. Kom., M. Kom.",S1 Bisnis Digital,26,scopus,2930
"Anita Safitri, M. Kom.",S1 Bisnis Digital,16,scopus,1881
"Dr. Nanang Hoesen. H. A., S.T., M.T.I.",S1 Bisnis Digital,44,scopus,2341
"Muhammad Fajar Wahyudi Rahman, S.E., M.M.",S1 Bisnis Digital,18,scopus,2247
"Dr.  Ratih Amelia, S.E., M.M.",S2 Bisnis Digital,10,scopus,1198
"Nadia Nur Thahirrah, S.E., M.SM.",S1 Bisnis Digital,5,scopus,502
"Dr. Dhiyan Septa Wihara, S.P., M.M.",S2 Bisnis Digital,54,scopus,706
"Dr Muhammad Fachmi, S.E., M.M.",S2 Bisnis Digital,0,no_data,0
"Achmad Fitro, S.Kom., M.Kom.",S1 Bisnis Digital,42,scopus,571
"Muhammad Febrilian Dwi Syahputra, S.Kom., M.Kom.",S1 Bisnis Digital,10,scopus,752
"Dana Azizah Rahmat, S.T., M.T., MBA.",S1 Bisnis Digital,7,scopus,436
"Danang Ary Dewangga, S.Kom., M.SM.",S1 Bisnis Digital,1,scholar_fallback,8
"Diki Putra Setianto, S.M., M.Sc.",S1 Bisnis Digital,0,no_data,0
"Rakha Asyrofi, S.ST., M.Kom.",S1 Agribisnis Digital,7,scholar_fallback,58
"Dodik Arwin Dermawan, S.ST., S.T., M.T.",D4 Manajemen Informatika,140,scopus,1919
"Asmunin, S.Kom., M.Kom.",D4 Manajemen Informatika,58,scopus,900
"Andi Iwan Nurhidayat, S.Kom., M.T.",D4 Manajemen Informatika,3,scopus,100
"Ari Kurniawan, S.Kom., M.T.",D4 Manajemen Informatika,10,scopus,367
"Salamun Rohman Nudin, S.Kom., M.Kom.",D4 Manajemen Informatika,76,scopus,1167
"I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",D4 Manajemen Informatika,12,scopus,647
"Rosita, S.Pd., M.Pd.",D4 Manajemen Informatika,7,scopus,136
"Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",D4 Manajemen Informatika,8,scopus,213
"Binti Kholifah, S.Kom., M.Tr.Kom.",D4 Manajemen Informatika,10,scholar_fallback,109
"Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",D4 Manajemen Informatika,9,scopus,744
"Moch Deny Pratama, S.Tr.Kom., M.Kom.",D4 Manajemen Informatika,9,scopus,142
"M Adamu Islam Mashuri, S.Tr.T., M.Tr.Kom.",D4 Manajemen Informatika,6,scholar_fallback,54
"Dr. Fitria, S.Pd., M.Pd.",S2 Industri Kreatif,19,scopus,2145
"Moch. Badrus Sholeh, S.Kom., M.Kom.",D4 Manajemen Informatika,6,scopus,75
"Prof. Dr. Mustaji, M.Pd.",S3 Teknologi Pendidikan,255,scopus,3109
"Prof.Dr. Rusijono, M.Pd.",S2 Pendidikan Teknologi Informasi,128,scopus,102
"Prof. Dr. Siti Masitoh, M.Pd.",S3 Pendidikan Inklusi,105,scopus,1804
"Prof.Dr.Yatim Riyanto,M.Pd.",S2 Pendidikan Teknologi Informasi,219,scopus,1860
"Dr. Bachtiar Syaiful Bachri, M.Pd",S2 Pendidikan Teknologi Informasi,191,scopus,2913
"Dr. H. Andi Mariono, M.Pd.",S2 Teknologi Pendidikan,8,scopus,894
"Dr. Fajar Arianto, S.Pd., M.Pd.",S3 Teknologi Pendidikan,13,scopus,1780
