topic,top_words,topic_name,n_dosen_dominant
0,"classification, algorithm, detection, feature, network, optimization, neural, machine, prediction, image, student, cheating",Artificial Intelligence & Machine Learning,55
1,"financial, marketing, digital, metaverse, banking, management, work, business, smart, brand, engagement, social",Digital Business & Financial Technology,27
2,"menggunakan, berbasis, sistem, metode, aplikasi, implementasi, analisis, pembelajaran, siswa, informasi, bangun, website",Information Systems & Educational Applications,10
3,"skills, thinking, vocational, student, school, test, outcomes, digital, blended, solving, project, self",Educational Technology & Learning Development,33
