nama_dosen,degree,constraint,effective_size,degree_centrality,betweenness,closeness
"Riskyana Dewi Intan P, M.Kom.",6,0.5589639671832989,4.428571428571429,0.06521739130434782,0.006581325648735226,0.31724137931034485
"Fadhilah Qalbi Annisa, S.T., M.Sc.",4,0.5768545513443472,2.880952380952381,0.043478260869565216,0.0024510704719242966,0.31833910034602075
"Harmon Prayogi, M.Sc.",3,0.7753212396069538,1.5555555555555556,0.03260869565217391,0.0,0.27794561933534745
"Ike Fitriyaningsih, M.Si",3,0.7753212396069538,1.5555555555555556,0.03260869565217391,0.0,0.27794561933534745
"Dr. Atik Wintarti, M.Kom.",7,0.4295323022025784,5.626495726495726,0.07608695652173914,0.028372008750528126,0.3458646616541353
"Ibnu Febry Kurniawan, S.Kom., M.Sc., Ph.D.",6,0.21487730843791447,5.691666666666666,0.06521739130434782,0.01119479642437495,0.3471698113207547
"Hasanuddin Al-Habib, M.Si.",7,0.2756763307961527,5.6952380952380945,0.07608695652173914,0.028792462479095688,0.37398373983739835
"Ulfa Siti Nuraini, S.Stat., M.Stat.",2,0.6056588613406796,1.4166666666666665,0.021739130434782608,0.0,0.30666666666666664
"Hujjatullah Fazlurrahman, S.E., MBA.",11,0.3518077259650465,6.780952380952382,0.11956521739130435,0.00732373216845266,0.2857142857142857
"Achmad Kautsar, S.E., M.M.",12,0.31752687796493556,7.776136363636366,0.13043478260869565,0.010301913407503476,0.2866043613707165
"Hafid Kholidi Hadi, S.E., M.SM.",12,0.34415523503679535,7.46061776061776,0.13043478260869565,0.010301913407503476,0.2866043613707165
"Ika Diyah Candra Arifah, S.E., M.Com.",11,0.3564850059932348,6.376700680272109,0.11956521739130435,0.006291948217414059,0.2857142857142857
"Riska Dhenabayu, S.Kom., M.M.",8,0.37362671277588405,4.592717086834734,0.08695652173913043,0.00017319636884854277,0.28307692307692306
"Fresha Kharisma,  S.E., M.SM.",11,0.3328617047235749,6.630396825396826,0.11956521739130435,0.010060746706709445,0.2857142857142857
"Renny Sari Dewi, S. Kom., M. Kom.",8,0.3707286917840158,4.32155388471178,0.08695652173913043,0.00023718517507337382,0.28307692307692306
"Anita Safitri, M. Kom.",13,0.31789260909749667,8.688593576965669,0.14130434782608695,0.011062384820148803,0.2875
"Dr. Nanang Hoesen. H. A., S.T., M.T.I.",14,0.26774034121542617,10.110752688172042,0.15217391304347827,0.24576792255363686,0.3770491803278688
"Muhammad Fajar Wahyudi Rahman, S.E., M.M.",9,0.42426478321112254,4.637333333333333,0.09782608695652173,0.005945271085022642,0.2839506172839506
"Dr.  Ratih Amelia, S.E., M.M.",9,0.3673196885607263,5.283458646616541,0.09782608695652173,9.811616954474097e-05,0.228287841191067
"Nadia Nur Thahirrah, S.E., M.SM.",8,0.40535991937840304,4.153650793650794,0.08695652173913043,6.82547266398198e-05,0.22772277227722773
